engine,box_position,code,runtime_min
nll_beta,0,2WNH,3.915
nll_beta,0,2WP1,0.96
nll_beta,0,2X1C,3.3
nll_beta,0,2X26,2.355
nll_beta,0,2XD0,0.911667
nll_beta,0,2XDO,2.238333
nll_beta,0,2XN4,0.87
nll_beta,0,2XPI,1.191667
nll_beta,0,2XPL,0.856667
nll_beta,0,2XVS,0.368333
nll_beta,0,2Y9W,1.371667
nll_beta,0,2YEU,3.12
nll_beta,0,2YFA,2.17
nll_beta,0,2YGB,2.728333
nll_beta,0,2YGK,1.72
nll_beta,0,2YJT,1.435
nll_beta,0,2YN0,1.601667
nll_beta,0,2Z1D,2.221667
nll_beta,0,2Z1Z,2.255
nll_beta,0,2Z7E,0.603333
nll_beta,0,2ZIU,1.383333
nll_beta,0,2ZME,1.646667
nll_beta,0,2ZON,3.535
nll_beta,0,2ZUL,1.586667
nll_beta,0,3A58,1.75
nll_beta,0,3ADO,1.555
nll_beta,0,3AJW,0.875
nll_beta,0,3AMH,1.471667
nll_beta,0,3AQG,0.398333
nll_beta,0,3ATQ,0.905
nll_beta,0,3AV4,1.485
nll_beta,0,3B23,0.778333
nll_beta,0,3B2D,4.016667
nll_beta,0,3B8I,3.976667
nll_beta,0,3BCI,0.526667
nll_beta,0,3BGU,0.545
nll_beta,0,3BJ6,0.558333
nll_beta,0,3BNK,1.276667
nll_beta,0,3BVQ,0.783333
nll_beta,0,3C7J,1.808333
nll_beta,0,3CAX,0.718333
nll_beta,0,3CB0,2.748333
nll_beta,0,3CB5,3.003333
nll_beta,0,3CBM,0.671667
nll_beta,0,3CGG,0.63
nll_beta,0,3CMQ,0.738333
nll_beta,0,3CQO,2.466667
nll_beta,0,3CU3,0.403333
nll_beta,0,3CXM,1.035
nll_beta,0,3D1M,1.108333
nll_beta,0,3D49,0.77
nll_beta,0,3DEE,1.08
nll_beta,0,3DIW,0.465
nll_beta,0,3DJD,3.021667
nll_beta,0,3DJN,0.285
nll_beta,0,3DLA,4.316667
nll_beta,0,3DOH,2.745
nll_beta,0,3DXI,0.87
nll_beta,0,3E7P,0.643333
nll_beta,0,3E8S,0.658333
nll_beta,0,3E8V,0.281667
nll_beta,0,3e+98,1.313333
nll_beta,0,3e+99,0.536667
nll_beta,0,3EC1,0.771667
nll_beta,0,3ED4,3.64
nll_beta,0,3EFY,1.208333
nll_beta,0,3ER7,1.536667
nll_beta,0,3EUS,0.435
nll_beta,0,3FBI,0.83
nll_beta,0,3FJU,0.801667
nll_beta,0,3FKK,1.73
nll_beta,0,3FPR,0.928333
nll_beta,0,3FVE,1.316667
nll_beta,0,3FVV,1.043333
nll_beta,0,3G39,0.453333
nll_beta,0,3G3O,0.553333
nll_beta,0,3G6L,1.413333
nll_beta,0,3G85,1.383333
nll_beta,0,3GF6,0.951667
nll_beta,0,3GLR,0.836667
nll_beta,0,3GM5,0.403333
nll_beta,0,3GMV,0.371667
nll_beta,0,3GQU,0.511667
nll_beta,0,3GR5,1.03
nll_beta,0,3GXQ,0.5
nll_beta,0,3H1T,0.736667
nll_beta,0,3H6E,1.076667
nll_beta,0,3H6R,1.153333
